SFD_EBV_Min, SFD_EBV_Max, Delta u (mag), Delta v (mag)
0.000,       0.020,       -0.0020,       +0.0014
0.020,       0.040,       +0.0072,       +0.0098
0.040,       0.060,       +0.0233,       +0.0230
0.060,       0.080,       +0.0371,       +0.0322
0.080,       0.100,       +0.0573,       +0.0440
0.100,       0.120,       +0.0709,       +0.0545
0.120,       0.140,       +0.0875,       +0.0653
0.140,       0.160,       +0.1069,       +0.0777
0.160,       0.180,       +0.1210,       +0.0877
0.180,       0.200,       +0.1320,       +0.0949
0.200,       0.220,       +0.1400,       +0.0989
0.220,       0.240,       +0.1469,       +0.1055
0.240,       0.260,       +0.1517,       +0.1078
0.260,       0.280,       +0.1556,       +0.1172
0.280,       0.300,       +0.1596,       +0.1234
0.300,       0.350,       +0.1662,       +0.1271
0.350,       0.400,       +0.1667,       +0.1347
0.400,       0.500,       +0.1738,       +0.1378
0.500,       0.600,       +0.2027,       +0.1396
0.600,       0.800,       +0.2367,       +0.1737
0.800,       1.000,       +0.2367,       +0.2106
1.000,       1.500,       +0.2112,       +0.1795
1.500,       2.500,       +0.1583,       +0.1137
